SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,36.45,36.75,36.05,36.4,36.35,36.5,76319,2773395.1,07-OCT-2016,184,INE144J01027,
3IINFOTECH,EQ,5.8,5.95,5.65,5.7,5.7,5.75,3224017,18658847.4,07-OCT-2016,898,INE748C01020,
