SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
3IINFOTECH,EQ,5.7,5.85,5.65,5.75,5.8,5.7,1807675,10339040.1,13-OCT-2016,554,INE748C01020,
3MINDIA,EQ,13299,13319.55,12970,13073.15,13088,13199.75,1309,17124123.95,13-OCT-2016,259,INE470A01017,
8KMILES,EQ,816.9,818,791,794.75,795,817.8,52952,42590959.85,13-OCT-2016,3046,INE650K01021,
