SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
DIC India Limited,COATESIND,DICIND,06-Sep-04
Dalmia Bharat Limited,DALMIABEL,DALMIABHA,09-Jan-13
Dalmia Bharat Sugar and Industries Limited,DALMIACEM,DALMIASUG,30-Sep-10
Dalmia Refractories Limited,SHRINATRAJ,DALMIAREF,22-May-14
Datamatics Global Services Limited,DATATECH,DATAMATICS,20-Apr-09
De Nora India Limited,TITANOCOMP,DENORA,20-Aug-07
Deccan Cements Limited,DECCANCEM,DECCANCE,02-Aug-07
Delta Corp Limited,ARROWGROUP,DELTACORP,11-Dec-08
Delta Magnets Limited,GPELECT,DELTAMAGNT,15-Dec-08
Dewan Housing Finance Corporation Limited,DEWANHOUS,DHFL,22-May-12
Dhunseri Petrochem Limited,DTIL,DPTL,26-Jul-10
Dhunseri Petrochem Limited,DPTL,DPL,12-Nov-14
Digjam Limited,BVXL,DIGJAM,28-Apr-08
Dr. Datson's Labs Limited,AANJANEYA,DRDATSONS,02-Sep-13
Ducon Infratechnologies Limited,DYNATECH,DUCON,11-May-16
E-Land Apparel Limited,MUDRA,ELAND,13-Mar-15
EIH Associated Hotels Limited,OBERHOTEL,EIHAHOTELS,08-Apr-08
Elecon Engineering Company Limited,ELECONENGG,ELECON,29-Sep-06
Elgi Rubber Company Limited,ELGITYRE,ELGIRUBBER,22-Dec-08
Entegra Limited,INDUJENERT,ENTEGRA,25-Apr-07
Eon Electric Limited,INDOASIFU,EONELECT,18-Aug-11
Era Infra Engineering Limited,ERACONS,ERAINFRA,25-Feb-08
Everest Industries Limited,ETERNEVRST,EVERESTIND,27-May-05
Excel Realty N Infra Limited,EXCELINFO,EXCEL,05-May-15
Exide Industries Limited,CHLORIDIND,EXIDEIND,12-Sep-05
FAG Bearings India Limited,FAGPRECISN,FAGBEARING,20-Aug-01
FUTURE ENTERPRISES LIMITED,PANTALOONR,FRL,11-Apr-13
FUTURE ENTERPRISES LIMITED,FRL,FEL,13-May-16
Fame India Limited,SHRINGAR,FAME,25-Feb-08
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE,12-Sep-06
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD,14-Jan-13
Flextronics Software Systems Limited,HUGHESSOFT,FSS,17-Mar-05
Fresenius Kabi Oncology Limited,DABURPHARM,FKONCO,19-Feb-09
Future Consumer Enterprise Limited,FVIL,FCEL,17-Oct-13
Future Enterprises Limited,PRETAILDVR,FRLDVR,11-Apr-13
Future Enterprises Limited,FRLDVR,FELDVR,13-May-16
Future Market Networks Limited,AGRE,FMNL,06-Mar-12
GE Power India Limited,ABBALPO,APIL,19-May-03
GE Power India Limited,APIL,AIL,11-Jul-12
GE Power India Limited,AIL,GEPIL,14-Sep-16
GE T&D India Limited,GECALSTHOM,AREVA,30-Jun-08
GE T&D India Limited,AREVA,AREVAT&D,14-Jul-08
GE T&D India Limited,AREVAT&D,ALSTOMT&D,12-Mar-12
GE T&D India Limited,ALSTOMT&D,GET&D,14-Sep-16
GMR Industries Limited,GMRVASAVI,GMRINDSTRS,28-Apr-06
GOCL CORPORATION LIMITED,GULFCORP,GOCLCORP,10-Nov-15
GP Petroleums Limited,SAHPETRO,GULFPETRO,06-May-15
GSL Nova Petrochemicals Limited,NOVA,GSLNOVA,18-Dec-09
GSS Infotech Limited,GSSAMERICA,GSS,24-Aug-11
GTL Limited,GLOBALTELE,GTL,14-Jan-05
GTN Industries Limited,GTNTEXT,GTNIND,24-Feb-06
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC,02-Mar-07
GeeCee Ventures Limited,GWALCHEM,GEECEE,05-Mar-10
Genus Power Infrastructures Limited,GENUSOVERE,GENUSPOWER,14-Jan-08
Geodesic Limited,GEOINFO,GEODESIC,06-Oct-08
Geojit BNP Paribas Financial Services Limited,GEOJIT,GEOJITBNPP,05-Jun-09
Gillette India Limited,INDSHAVING,GILLETTE,04-Apr-06
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS,29-Jul-03
Global Offshore Services Limited,GARWOFFS,GLOBOFFS,07-Jun-11
Glodyne Technoserve Limited,PARADYNE,GLODYNE,19-Nov-07
Golden Tobacco Limited,GTCIND,GOLDENTOBC,29-Sep-08
Goldstone Infratech Limited,GOLDTELE,GOLDINFRA,29-Feb-08
Graphite India Limited,CARBEVFLOW,GRAPHITE,13-Jan-03
Greaves Cotton Limited,GREAVES,GREAVESCOT,09-Sep-04
Greenply Industries Limited,MITTALLAMI,GREENPLY,09-Dec-04
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND,04-Jun-07
Gujarat Apollo Industries Limited,GUJAPOLIND,GUJAPOLLO,06-Jul-07
Gulf Oil Corporation Limited,IDLCHEM,GULFOILCOR,08-Nov-07
HCL Infosystems Limited,HCL-HP,HCL-INSYS,12-Apr-00
HIL Limited,HYDRBADIND,HIL,26-Oct-12
HSBC InvestDirect (India) Limited,INVSTSMART,HINVDIR,07-Sep-09
HSIL Limited,HINDSANIT,HSIL,27-Apr-09
HeidelbergCement India Limited,MYSORECEM,HEIDELBERG,15-May-09
Hero MotoCorp Limited,HEROHONDA,HEROMOTOCO,08-Aug-11
Himadri Speciality Chemical Limited,HIMADCHEM,HCIL,02-Mar-07
Himadri Speciality Chemical Limited,HCIL,HSCL,16-Aug-16
Hindalco Industries Limited,HINDALC0,HINDALCO,27-Aug-07
Hinduja Foundries Limited,ENNOREFO,HINDUJAFO,24-Mar-08
Hinduja Global Solutions Limited,HTMTGLOBAL,HGSL,23-Jan-09
Hinduja Global Solutions Limited,HGSL,HGS,30-Nov-11
Hinduja TMT Limited,HINDUJAFIN,HTMT,13-Jan-03
Hinduja Ventures Limited,HINDUJATMT,HINDUJAVEN,29-Nov-07
Hindustan Construction Company Limited,HINDCONS,HCC,10-Jul-06
Hindustan Unilever Limited,HINDLEVER,HINDUNILVR,19-Jul-07
Honda Siel Power Products Limited,SHRMHONDA,HONDAPOWER,04-Apr-06
Honeywell Automation India Limited,TATAHONEY,HONAUT,24-Mar-05
Hubtown Limited,AKRUTI,ACKRUTI,30-Jun-09
Hubtown Limited,ACKRUTI,HUBTOWN,15-Nov-11
ICICI Prudential Gold iWIN ETF,IPGETF,IGOLD,05-May-14
ICICI Prudential Gold iWIN ETF,IGOLD,GOLDIWIN,25-Jul-16
ICICI Prudential MF - ICICI Prudential IF S1 - DQDP,IPRU8112,IPRU8122,16-Dec-13
ICICI Prudential Midcap Select iWIN ETF,IMIDCAP,MIDCAPIWIN,25-Jul-16
ICICI Prudential NV20 iWIN ETF,INV20,NV20IWIN,25-Jul-16
ICICI Prudential Nifty 100 iWIN ETF,ICCNX100,ICNX100,05-May-14
ICICI Prudential Nifty 100 iWIN ETF,ICNX100,NIF100IWIN,25-Jul-16
ICICI Prudential Nifty iWIN ETF,NIFETF,INIFTY,05-May-14
ICICI Prudential Nifty iWIN ETF,INIFTY,NIFTYIWIN,25-Jul-16
ICICI Prudential Sensex iWIN ETF,SPICE,ISENSEX,18-Aug-14
ICICI Prudential Sensex iWIN ETF,ISENSEX,SENSEXIWIN,25-Jul-16
IG Petrochemicals Limited,IGPETRO,IGPL,29-Jan-07
