SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
Nahar Poly Films Limited,NAHAREXPOT,NAHARINVST,01-Nov-07
Nahar Poly Films Limited,NAHARINVST,NAHARPOLY,15-Jun-11
Nalwa Sons Investments Limited,JSTRIPS,NSIL,07-Jun-05
Nandan Denim Limited,NANDANEXIM,NDL,21-Nov-13
Nava Bharat Ventures Limited,NAVBARFERO,NBVENTURES,31-Jul-06
Navneet Education Limited,NAVNETPUBL,NAVNETEDUL,19-Sep-13
Net 4 India Limited,NET4INDIA,NET4,28-Feb-11
Netvista Information Technology Limited,KRAFTIND,NETVISTAIT,09-Aug-00
Next Mediaworks Limited,MID-DAY,NEXTMEDIA,15-Jun-11
Nilkamal Limited,NILKAMPLST,NILKAMAL,05-Jan-07
Noesis Industries Limited,MEDIA,MVLIND,20-Feb-09
Noesis Industries Limited,MVLIND,NOESISIND,04-Jun-14
NuCent Finance Limited,PRESSMAN,NUCENTFIN,20-Aug-01
OCL India Limited,ORISSACEM,OCL,15-Sep-04
Oberoi Realty Limited,OBEROIREAL,OBEROIRLTY,10-Dec-10
Oracle Financial Services Software Limited,I-FLEX,OFSS,18-Sep-08
Orchid Pharma Limited,ORCHIDCHEM,ORCHIDPHAR,21-Dec-15
Orient Bell Limited,ORIENTCERA,ORIENTBELL,17-Apr-12
Oriental Trimex Limited,OTL,ORIENTALTL,17-Dec-09
PAE Limited,PREMAUTOEL,PAEL,23-Nov-05
PIL ITALICA LIFESTYLE LIMITED,PILIND,PILITA,03-Sep-15
PSL Limited,PSLHOLD,PSL,19-May-03
PVP Ventures Limited,SOFTSOLINT,PVP,23-Jun-08
Palred Technologies Limited,FOURSOFT,PALRED,16-Jan-14
Panasonic AVC Networks India Company Limited.,MTAL,PAVCI,12-Mar-04
Parrys Sugar Industries Limited,GMRINDS,PARRYSUGAR,02-Dec-10
Pearl Global Industries Limited,HOPFL,PGIL,02-Jul-12
Peninsula Land Limited,MORARJESPG,MORAREALTY,15-Oct-04
Peninsula Land Limited,MORAREALTY,PENINLAND,09-Jun-06
Pharmacia Healthcare Limited,ABBOTTLAB,PHARMACIA,24-Mar-03
Phoenix Lamps Limited,PHOENIXLMP,HALONIX,09-Mar-09
Phoenix Lamps Limited,HALONIX,PHOENIXLL,30-Oct-13
Piramal Enterprises Limited,NICOLASPIR,PIRHEALTH,19-Jun-08
Piramal Enterprises Limited,PIRHEALTH,PEL,21-Sep-12
Piramal Glass Limited,GUJGLASS,PIRGLASS,12-May-08
Piramal Phytocare Limited,PIRLIFE,PIRPHYTO,23-Oct-13
Precot Meridian Limited,PRECOTMILL,PRECOT,01-Nov-06
Premier Limited,PREMAUTO,PREMIER,14-Jun-05
Pressman Advertising Limited,NUCENT,PRESSMN,11-Sep-13
Pricol Limited,PREMINSTR,PRICOL,16-Aug-05
Procter & Gamble Hygiene and Health Care Limited,P&G,PGHH,07-Jul-04
Prozone Intu Properties Limited,PROZONE,PROZONECSC,24-Sep-12
Prozone Intu Properties Limited,PROZONECSC,PROZONINTU,07-Oct-14
Pudumjee Industries Limited,PDUMJEAGRO,PDUMJEIND,28-Mar-08
Quintegra Solutions Limited,SOFFIASOFT,QUINTEGRA,22-Aug-05
RPG Cables Limited,RPGTELECOM,RPGCABLES,04-Apr-06
RPG Transmission Limited,SAELTD,RPGTLTD,05-Dec-06
RSWM Limited,RAJASSPG,RSWM,01-Sep-06
Rain Industries Limited,PRIYADCEM,RAINCOM,03-Mar-08
Rain Industries Limited,RAINCOM,RAIN,23-Aug-13
Rane Holdings Limited,RANEMADRAS,RANEHOLDIN,22-Aug-05
RattanIndia Infrastructure Limited,IBIPL,RTNINFRA,20-Nov-14
RattanIndia Power Limited,IBPOW,RTNPOWER,20-Nov-14
Reliance Broadcast Network Limited,RMEDIA,RBN,20-Aug-10
Reliance Communications Limited,RCVL,RCOM,30-Jun-06
Reliance Defence and Engineering Limited,PIPAVAVYD,PIPAVAVDOC,29-Sep-11
Reliance Defence and Engineering Limited,PIPAVAVDOC,RDEL,18-Mar-16
Reliance Infrastructure Limited,BSES,REL,12-Mar-04
Reliance Infrastructure Limited,REL,RELINFRA,16-May-08
Reliance MediaWorks Limited,ADLABSFILM,RELMEDIA,20-Oct-09
Roofit Industries Limited,RATNABLDG,ROOFITIND,15-Sep-99
SBI-ETF Gold,SBIGETS,SETFGOLD,24-Nov-15
SBI-ETF Nifty 50,SETFNIFTY,SETFNIF50,24-Nov-15
SBI-ETF Nifty Bank,SETFBANK,SETFNIFBK,24-Nov-15
SBI-ETF Nifty Next 50,SETFNIFJR,SETFNN50,24-Nov-15
SHRI ASTER SILICATES LIMITED,ASTERSILI,SHRIASTER,03-Feb-14
SI Group - India Limited,HERDILCHEM,SCHENHERD,04-Apr-06
SI Group - India Limited,SCHENHERD,SIGROUPIND,28-Nov-06
SIL Investments Limited,SUTLEJINDS,SILINV,21-Jun-07
SKF India Limited,SKFBEARING,SKFINDIA,20-Oct-04
SKIL Infrastructure Limited,HORIZONBAT,HORIZONINF,22-Feb-08
SKIL Infrastructure Limited,HORIZONINF,SKIL,24-Mar-14
SML Isuzu Limited,SWARAJMAZD,SMLISUZU,17-Jan-11
SPML Infra Limited,SUBHASPROJ,SPMLINFRA,14-May-10
SQS India BFSI Limited,THINKSOFT,SQSBFSI,30-Sep-14
SREI Infrastructure Finance Limited,SREINTFIN,SREINFRA,21-Jul-10
SURANA SOLAR LIMITED,SURANAVEL,SURANASOL,19-Nov-14
SVOGL OIL GAS AND ENERGY LIMITED,SHIV-VANI,SVOGL,23-Oct-15
Sagar Cements Limited,SAGARCEM,SAGCEM,29-Jan-07
Sambhaav Media Limited,PERLENGINF,SAMBHAAV,18-Oct-05
Sanofi India Limited,HOECHST,AVENTIS,19-May-03
Sanofi India Limited,AVENTIS,SANOFI,11-Jul-12
Saregama India Limited,GRAMOPHONE,SAREGAMA,20-Aug-01
Sathavahana Ispat Limited,SATHVANISP,SATHAISPAT,27-Dec-06
Savita Oil Technologies Limited,SAVITACHEM,SOTL,24-Aug-09
Seamec Limited,PEERLESHIP,SEAMECLTD,20-Aug-01
Sezal Glass Limited,SEJALGLASS,SEZALGLASS,14-Jul-10
Shalimar Paints Limited,SHALMPAINT,SHALPAINTS,03-Mar-08
Shasun Pharmaceuticals Limited,SHASUNCHEM,SHASUNPHAR,28-Jan-11
Shirpur Gold Refinery Limited,AGEEGOLD,SHIRPUR-G,17-Jan-13
