SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BIRLA3M,EQ,13299,13319.55,12970,13073.15,13088,13199.75,1309,17124123.95,14-OCT-2016,259,INE470A01017,
3IINFOTECH,EQ,5.75,5.95,5.75,5.8,5.8,5.75,2048953,11962987.35,14-OCT-2016,703,INE748C01020,
8KMILES,EQ,795.05,814,785.5,792.15,788,794.75,53555,42861197,14-OCT-2016,2995,INE650K01021,
A2ZINFRA,EQ,38.25,38.7,37.3,37.55,37.45,37.3,747488,28196079.05,14-OCT-2016,3888,INE619I01012,
