INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Sep-2016,0,XX,19557.45,19740,19534,19691.7,19691.7,81628,641657.68,1217800,-573360,28-SEP-2016,
FUTIDX,BANKNIFTY,27-Oct-2016,0,XX,19675,19866.55,19653.6,19816.05,19816.05,25714,203385.01,1102800,296320,28-SEP-2016,
FUTIDX,BANKNIFTY,24-Nov-2016,0,XX,19800,19960,19760.9,19917.5,19917.5,479,3805.52,35200,7480,28-SEP-2016,
FUTIVX,INDIAVIX,04-Oct-2016,0,XX,0,0,0,1531.5,1396.25,0,0,0,0,28-SEP-2016,
FUTIVX,INDIAVIX,10-Oct-2016,0,XX,0,0,0,1491,1396.25,0,0,0,0,28-SEP-2016,
FUTIVX,INDIAVIX,18-Oct-2016,0,XX,0,0,0,1444,1421.25,0,0,0,0,28-SEP-2016,
FUTSTK,ABIRLANUVO,29-Sep-2016,0,XX,1369.55,1395,1369.55,1390.6,1390.6,3038,31616.06,1556250,-1334250,28-SEP-2016,
FUTSTK,ABIRLANUVO,27-Oct-2016,0,XX,1382.8,1402,1381,1398.3,1398.3,2511,26287.91,2782500,1404750,28-SEP-2016,
FUTSTK,ABIRLANUVO,24-Nov-2016,0,XX,1402.85,1408.95,1402.85,1408.95,1408.95,5,52.7,3750,3000,28-SEP-2016,
